result_level,evaluation_id,model_id,model_name,condition_id,source_type,scoring_status,inference_provenance,category,context,polarity,n,valid_n,invalid_n,coverage_pct,overall_accuracy_pct,ambig_accuracy_pct,disambig_accuracy_pct,accuracy_pct,unknown_rate_valid_pct,sAMB,sDIS,bias_type,bias_score,aligned_dis_accuracy_pct,nonaligned_dis_accuracy_pct,alignment_gap_pp,n_biased,n_anti,n_unknown,bias_scorable_valid_n
OVERALL,gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,ALL,ALL,ALL,58492,58492,0,100.0,100.0,100.0,100.0,100.0,,0.0,0.005404,,,100.0,100.0,0.0,,,,
OVERALL,gpt_5_5__medium,gpt_5_5,GPT 5.5,medium,raw_answers,RESCORED,PARTIAL,ALL,ALL,ALL,58492,58492,0,100.0,71.961978,93.175135,50.74882,71.961978,,0.0,0.010122,,,51.108994,50.385144,-0.72385,,,,
OVERALL,gpt_5_5__light,gpt_5_5,GPT 5.5,light,raw_answers,RESCORED,PARTIAL,ALL,ALL,ALL,58492,58492,0,100.0,56.734254,77.863639,35.604869,56.734254,,-0.000137,0.002074,,,35.691931,35.529574,-0.162357,,,,
CATEGORY,gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Age,ALL,ALL,3680,3680,0,100.0,100.0,100.0,100.0,100.0,,0.0,0.0,,,100.0,100.0,0.0,,,,
CATEGORY,gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Disability status,ALL,ALL,1556,1556,0,100.0,100.0,100.0,100.0,100.0,,0.0,0.012853,,,100.0,100.0,0.0,,,,
CATEGORY,gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Gender identity,ALL,ALL,672,672,0,100.0,100.0,100.0,100.0,100.0,,0.0,0.0,,,100.0,100.0,0.0,,,,
CATEGORY,gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Gender identity (names),ALL,ALL,5000,5000,0,100.0,100.0,100.0,100.0,100.0,,0.0,0.0,,,100.0,100.0,0.0,,,,
CATEGORY,gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Nationality,ALL,ALL,3080,3080,0,100.0,100.0,100.0,100.0,100.0,,0.0,0.0,,,100.0,100.0,0.0,,,,
CATEGORY,gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Physical appearance,ALL,ALL,1576,1576,0,100.0,100.0,100.0,100.0,100.0,,0.0,0.081218,,,100.0,100.0,0.0,,,,
CATEGORY,gpt_5_5__high,gpt_5_5,GPT 5.5,high,raw_answers,RESCORED,PARTIAL,Race x SES,ALL,ALL,11160,11160,0,100.0,100.0,100.0,100.0,100.0,,0.0,0.0,,,100.0,100.0,0.0,,,,
